"Ring","Colony","Sp","geo_trip","Migration","complete","year_dep","B_dep","WA_arr","WA_dep","BA_arr","B_dep_jul","WA_arr_jul","WA_dep_jul","BA_arr_jul","WA"
"5086345","Ibiza","PUFMAU","BASH23016001","Migrant","Complete",2011,"2011-04-21","2011-08-19","2011-10-11","2011-10-15",33,153,206,210,"South European Atlantic Shelf"
"5086346","Ibiza","PUFMAU","BASH23017001","Migrant","Complete",2011,"2011-04-20","2011-06-20","2011-10-22","2011-11-05",32,93,217,231,"South European Atlantic Shelf"
"5049267","Ibiza","PUFMAU","BASH23022001","Migrant","Complete",2011,"2011-05-05","2011-05-21","2011-08-13","2011-08-24",47,63,147,227,"South European Atlantic Shelf"
"5049268","Ibiza","PUFMAU","BASH23023001","Migrant","Complete",2011,"2011-04-28","2011-10-21","2011-11-26","2011-12-01",40,216,252,257,"Saharan Upwelling"
"5073533","Mallorca","PUFMAU","BC709001001","Migrant","Complete",2018,"2018-05-24","2018-06-06","2018-09-09","2018-09-12",84,97,192,195,"South European Atlantic Shelf"
"5107147","Mallorca","PUFMAU","BD250001001","Migrant","Complete",2018,"2018-05-24","2018-06-09","2018-10-12","2018-11-10",84,100,225,203,"South European Atlantic Shelf"
"5068534","Mallorca","PUFMAU","BD251001001","Migrant","Complete",2018,"2018-06-17","2018-06-23","2018-09-08","2018-09-19",108,114,191,202,"South European Atlantic Shelf"
"5068560","Mallorca","PUFMAU","BD257001001","Migrant","Complete",2018,"2018-04-23","2018-06-25","2018-08-26","2018-10-24",53,116,178,194,"Saharan Upwelling"
"RX00230","Mallorca","PUFMAU","BD260001001","Migrant","Complete",2018,"2018-05-19","2018-06-10","2018-09-13","2018-09-20",79,101,196,203,"South European Atlantic Shelf"
"5131657","Mallorca","PUFMAU","BD261001001","Migrant","Complete",2018,"2018-04-29","2018-07-02","2018-10-19","2018-10-21",59,123,232,224,"South European Atlantic Shelf"
"RX00193","Mallorca","PUFMAU","BD264001001","Migrant","Complete",2018,"2018-05-12","2018-07-21","2018-09-30","2018-10-01",72,142,213,214,"South European Atlantic Shelf"
"5107124","Mallorca","PUFMAU","BD266001001","Migrant","Complete",2018,"2018-05-11","2018-05-22","2018-08-28","2018-09-10",71,82,180,193,"South European Atlantic Shelf"
"5142420","Mallorca","PUFMAU","BD270001001","Migrant","Uncomplete",2018,NA,"2018-07-13","2018-08-08",NA,NA,134,160,NA,NA
"5142596","Mallorca","PUFMAU","BD562001001","Migrant","Complete",2018,"2018-05-01","2018-07-02","2018-08-25","2018-11-02",61,123,177,224,"Saharan Upwelling"
"5120176","Mallorca","PUFMAU","BF840001001","Migrant","Complete",2018,"2018-05-06","2018-05-31","2018-08-29","2018-09-16",66,91,181,197,"South European Atlantic Shelf"
"5048326","Mallorca","PUFMAU","BF841001001","Migrant","Complete",2018,"2018-04-26","2018-06-29","2018-09-21","2018-09-28",56,120,204,208,"South European Atlantic Shelf"
"RX30387","Mallorca","PUFMAU","BG848001001","Migrant","Complete",2018,"2018-04-15","2018-07-06","2018-10-15","2018-11-01",45,127,228,231,"South European Atlantic Shelf"
"5142418","Mallorca","PUFMAU","BG850001001","Resident","Complete",2018,"2018-05-17",NA,NA,NA,77,NA,NA,NA,"Western Mediterranean"
"5105219","Mallorca","PUFMAU","BK738001001","Migrant","Complete",2018,"2018-05-05","2018-06-26","2018-10-02","2018-10-03",65,117,215,216,"South European Atlantic Shelf"
"RX00196","Mallorca","PUFMAU","BK739001001","Migrant","Complete",2018,"2018-06-17","2018-07-03","2018-08-27","2018-10-29",108,124,179,212,"South European Atlantic Shelf"
"5073668","Mallorca","PUFMAU","BK740001001","Migrant","Complete",2018,"2018-04-19","2018-06-22","2018-09-07","2018-09-12",49,113,190,195,"South European Atlantic Shelf"
"5120239","Mallorca","PUFMAU","BK743001001","Migrant","Complete",2018,"2018-04-28","2018-07-27","2018-11-26","2018-11-26",58,148,270,191,"South European Atlantic Shelf"
"RX03334","Mallorca","PUFMAU","BK753001001","Migrant","Complete",2018,"2018-05-25","2018-06-16","2018-09-22","2018-09-24",85,107,205,207,"South European Atlantic Shelf"
"5048471","Mallorca","PUFMAU","BK757001001","Resident","Complete",2018,"2018-05-19",NA,NA,NA,79,NA,NA,NA,"Western Mediterranean"
"RX00192","Mallorca","PUFMAU","BK765001001","Migrant","Complete",2018,"2018-04-19",NA,"2018-09-05","2018-09-14",49,NA,NA,NA,"South European Atlantic Shelf"
"TJ3263","Sardinia","PUFYEL","BV894001001","Migrant","Complete",2021,"2021-04-26","2021-09-25","2021-12-11","2021-12-17",29,181,258,264,"Aegean Sea"
