"Ring","Colony","Sp","geo_trip","Migration","BA_dep_date","WA_A_arr_date","WA_A_dep_date","WA_B_arr_date","WA_B_dep_date","BA_arr_date","complete","year_dep","WA"
"FS56059","FRANCE","PUFYEL","1706001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2006,"Western Mediterranean"
"FS56059","FRANCE","PUFYEL","1706001002","Resident",NA,NA,NA,NA,NA,NA,"Complete",2007,"Western Mediterranean"
"5056077","MALLORCA","PUFMAU","17075001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2012,"Western Mediterranean"
"5120247","MINORCA","PUFYEL","17079001001","Migrant","2012-06-02T00:00:00Z","2012-06-10T00:00:00Z",NA,NA,NA,NA,"Uncomplete",2012,"Alboran Sea"
"FT67725","FRANCE","PUFYEL","1711001001","Migrant","2006-07-23T00:00:00Z","2006-07-25T00:00:00Z","2006-10-28T00:00:00Z",NA,NA,"2006-10-31T00:00:00Z","Complete",2006,"Western Mediterranean"
"5056093","MALLORCA","PUFMAU","17130001001","Migrant","2012-07-07T19:39:00Z","2012-07-15T20:02:45Z","2012-09-13T18:54:10Z",NA,NA,"2012-09-20T05:13:00Z","Complete",2012,"Saharan Upwelling"
"5107125","MALLORCA","PUFMAU","18A571001001","Migrant","2012-06-12T04:04:30Z","2012-06-15T20:30:30Z","2012-09-15T19:07:39Z",NA,NA,"2012-10-12T05:37:50Z","Complete",2012,"South European Atlantic Shelf"
"5043573","MALLORCA","PUFMAU","22081001001","Migrant","2010-07-02T19:58:21Z","2011-01-22T06:53:17Z","2011-03-14T18:21:41Z",NA,NA,NA,"Uncomplete",2010,"South European Atlantic Shelf"
"5048326","MALLORCA","PUFMAU","22082001001","Migrant","2010-06-21T03:55:01Z","2010-06-24T04:38:33Z","2010-10-18T06:25:02Z",NA,NA,"2010-11-09T06:05:16Z","Complete",2010,"South European Atlantic Shelf"
"5068669","MALLORCA","PUFMAU","22082002001","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2011,NA
"5048324","MALLORCA","PUFMAU","22084001001","Migrant","2010-06-23T20:06:24Z","2010-06-28T04:41:53Z","2010-10-11T17:55:09Z",NA,NA,"2010-10-17T17:40:09Z","Complete",2010,"South European Atlantic Shelf"
"5107123","MALLORCA","PUFMAU","22085001001","Migrant",NA,NA,NA,NA,NA,NA,"Complete",2011,"South European Atlantic Shelf"
"5107123","MALLORCA","PUFMAU","22085002001","Migrant","2010-05-27T19:40:15Z","2010-06-06T04:42:54Z","2010-10-12T06:13:32Z",NA,NA,"2010-10-25T17:31:54Z","Complete",2010,"South European Atlantic Shelf"
"5107134","MALLORCA","PUFMAU","22086001001","Migrant","2010-07-08T04:13:45Z","2010-07-10T20:12:05Z","2010-11-02T06:03:22Z",NA,NA,"2010-11-16T06:15:15Z","Complete",2010,"South European Atlantic Shelf"
"5107134","MALLORCA","PUFMAU","22086002001","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2011,NA
"5068560","MALLORCA","PUFMAU","22087001001","Migrant","2010-06-29T03:55:51Z","2010-07-03T04:54:08Z","2010-09-09T05:43:51Z",NA,NA,"2010-09-17T18:24:06Z","Complete",2010,"South European Atlantic Shelf"
"5068560","MALLORCA","PUFMAU","22087002001","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2011,NA
"5073663","MALLORCA","PUFMAU","22089001001","Migrant","2010-06-24T19:47:23Z","2010-06-28T04:57:57Z","2010-09-17T18:45:55Z",NA,NA,"2010-09-25T05:28:18Z","Complete",2010,"Saharan Upwelling"
"5107123","MALLORCA","PUFMAU","22091001001","Migrant","2012-05-19T04:14:28Z","2012-05-31T20:33:12Z","2012-09-12T05:52:59Z",NA,NA,"2012-09-16T05:14:16Z","Complete",2012,"South European Atlantic Shelf"
"5107137","MALLORCA","PUFMAU","22091002001","Migrant","2010-06-08T04:10:04Z","2010-07-20T20:29:27Z","2010-10-09T18:02:54Z",NA,NA,"2010-10-18T05:49:38Z","Complete",2010,"South European Atlantic Shelf"
"5107137","MALLORCA","PUFMAU","22091003001","Migrant","2011-06-28T04:04:40Z","2011-07-10T04:06:35Z","2011-08-20T04:48:12Z",NA,NA,"2011-11-08T06:05:07Z","Complete",2011,"South European Atlantic Shelf"
"5085636","MALLORCA","PUFMAU","22092001001","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2011,NA
"5068532","MALLORCA","PUFMAU","22093001001","Migrant","2010-05-27T04:10:43Z","2010-06-02T04:44:39Z","2010-09-14T05:52:39Z",NA,NA,"2010-10-23T17:38:59Z","Complete",2010,"South European Atlantic Shelf"
"5068507","MALLORCA","PUFMAU","22094001001","Migrant","2010-06-23T19:44:59Z","2010-07-02T05:02:10Z","2010-09-13T19:12:00Z",NA,NA,"2010-09-24T05:33:00Z","Complete",2010,"South European Atlantic Shelf"
"TJ3255","SARDINIA","PUFYEL","22151001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2010,"Western Mediterranean"
"TJ3257","SARDINIA","PUFYEL","22153001","Migrant","2010-06-04T03:35:51Z","2010-07-22T17:38:52Z","2010-11-15T14:38:06Z",NA,NA,"2010-12-07T05:45:51Z","Complete",2010,"Black Sea"
"TJ3258","SARDINIA","PUFYEL","22154001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2010,"Adriatic Sea"
"TJ3259","SARDINIA","PUFYEL","22155001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2010,"Western Mediterranean"
"TJ3262","SARDINIA","PUFYEL","22157001","Migrant","2010-06-19T03:33:38Z","2010-07-30T17:31:36Z","2010-11-25T14:33:37Z",NA,NA,"2010-12-07T05:53:10Z","Complete",2010,"Black Sea"
"TJ3263","SARDINIA","PUFYEL","22158001","Migrant","2010-05-25T19:17:21Z","2010-06-13T01:57:36Z","2010-12-09T14:58:36Z",NA,NA,"2010-12-19T05:51:46Z","Complete",2010,"Black Sea"
"TJ3261","SARDINIA","PUFYEL","22159001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2010,"Western Mediterranean"
"TJ3264","SARDINIA","PUFYEL","22160001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2010,"Western Mediterranean"
"TJ3265","SARDINIA","PUFYEL","22161001","Migrant","2010-07-18T03:38:31Z","2010-07-21T03:09:15Z","2011-01-28T05:28:08Z",NA,NA,NA,"Uncomplete",2010,"Black Sea"
"TA2209","SARDINIA","PUFYEL","22162001","Migrant","2010-07-12T00:00:00Z","2010-07-16T00:00:00Z","2010-09-13T00:00:00Z","2010-09-27T00:00:00Z","2010-11-28T00:00:00Z","2010-12-05T16:25:42Z","Complete",2010,"Western Mediterranean"
"5042865","MALLORCA","PUFMAU","22180001001","Migrant","2010-05-27T04:08:39Z","2010-06-04T20:34:30Z","2010-10-17T06:23:30Z",NA,NA,"2010-10-20T17:46:30Z","Complete",2010,"South European Atlantic Shelf"
"5073591","MALLORCA","PUFMAU","22181001001","Migrant","2010-06-22T04:01:10Z","2010-06-25T20:41:43Z","2010-09-19T19:10:57Z",NA,NA,"2010-09-23T05:34:51Z","Complete",2010,"South European Atlantic Shelf"
"5073591","MALLORCA","PUFMAU","22181002001","Migrant","2011-06-25T03:54:56Z","2011-08-28T19:52:09Z","2011-10-07T06:04:23Z",NA,NA,"2011-10-15T05:49:09Z","Complete",2011,"South European Atlantic Shelf"
"5107137","MALLORCA","PUFMAU","22181003001","Migrant","2012-07-06T19:58:39Z","2012-07-13T05:06:49Z","2012-10-13T18:28:39Z",NA,NA,"2012-10-19T05:56:05Z","Complete",2012,"South European Atlantic Shelf"
"5068669","MALLORCA","PUFMAU","22182001001","Migrant","2010-06-20T19:56:48Z","2010-06-23T20:29:18Z","2010-09-24T06:18:18Z",NA,NA,"2010-10-01T05:24:22Z","Complete",2010,"South European Atlantic Shelf"
"5068669","MALLORCA","PUFMAU","22182002001","Migrant","2011-06-23T03:58:48Z","2011-06-25T04:47:44Z","2011-09-30T06:28:57Z",NA,NA,"2011-11-08T17:17:27Z","Complete",2011,"South European Atlantic Shelf"
"5107124","MALLORCA","PUFMAU","22183001001","Migrant","2011-06-04T04:02:30Z","2011-06-20T20:29:08Z","2011-10-05T05:39:50Z",NA,NA,"2011-10-30T06:01:22Z","Complete",2011,"South European Atlantic Shelf"
"5107124","MALLORCA","PUFMAU","22183002001","Migrant","2011-06-09T04:04:30Z","2011-06-20T20:29:08Z","2011-09-10T05:50:30Z",NA,NA,"2011-09-13T18:40:08Z","Complete",2011,"South European Atlantic Shelf"
"5068661","MALLORCA","PUFMAU","22184001001","Migrant","2010-06-28T20:00:31Z","2010-07-03T20:58:18Z","2010-10-26T17:29:48Z",NA,NA,"2010-11-03T06:09:52Z","Complete",2010,"South European Atlantic Shelf"
"5068661","MALLORCA","PUFMAU","22184002001","Migrant","2011-06-25T19:58:45Z","2011-07-03T20:38:49Z","2011-09-24T06:09:34Z",NA,NA,"2011-10-06T17:58:40Z","Complete",2011,"South European Atlantic Shelf"
"5073698","MALLORCA","PUFMAU","22186001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2012,"Western Mediterranean"
"5073698","MALLORCA","PUFMAU","22186002001","Migrant","2010-07-01T03:58:21Z","2010-07-10T04:01:12Z","2010-08-22T05:02:59Z",NA,NA,"2010-11-02T17:30:41Z","Complete",2010,"South European Atlantic Shelf"
"5073698","MALLORCA","PUFMAU","22186003001","Migrant","2011-05-12T04:09:12Z","2011-06-26T03:59:16Z","2011-10-01T05:39:43Z",NA,NA,"2011-10-28T17:29:36Z","Complete",2011,"South European Atlantic Shelf"
"5107127","MALLORCA","PUFMAU","22187001001","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2011,NA
"5107127","MALLORCA","PUFMAU","22187002001","Migrant","2010-06-16T04:04:03Z","2010-06-27T20:42:54Z","2010-09-20T06:03:17Z",NA,NA,"2010-09-25T05:23:48Z","Complete",2010,"South European Atlantic Shelf"
"5068571","MALLORCA","PUFMAU","22188001001","Migrant","2010-06-23T04:07:17Z","2010-06-30T20:47:12Z","2010-10-10T06:23:51Z",NA,NA,"2010-11-16T06:23:51Z","Complete",2010,"South European Atlantic Shelf"
"5068889","MALLORCA","PUFMAU","22189001001","Migrant","2010-07-05T04:05:45Z","2010-07-14T04:56:45Z","2010-09-12T19:06:31Z","2010-09-15T05:29:21Z","2010-10-14T05:48:36Z","2010-11-03T06:06:08Z","Complete",2010,"South European Atlantic Shelf"
"5056093","MALLORCA","PUFMAU","22190001001","Migrant","2010-07-03T04:00:16Z","2010-07-05T04:48:30Z","2010-09-24T18:48:02Z",NA,NA,"2010-09-28T18:16:54Z","Complete",2010,"South European Atlantic Shelf"
"5056093","MALLORCA","PUFMAU","22190002001","Migrant","2011-06-23T19:54:03Z","2011-06-26T04:45:48Z","2011-10-16T18:15:28Z",NA,NA,"2011-11-05T06:08:03Z","Complete",2011,"South European Atlantic Shelf"
"5042872","MALLORCA","PUFMAU","22191001001","Migrant","2010-06-27T19:59:12Z","2010-07-06T20:48:21Z","2010-09-23T06:10:31Z",NA,NA,"2010-10-16T05:44:06Z","Complete",2010,"South European Atlantic Shelf"
"5067773","MALLORCA","PUFMAU","22192001001","Migrant","2010-06-26T04:04:00Z","2010-06-28T20:23:58Z","2010-09-20T19:04:06Z",NA,NA,"2010-09-25T05:24:18Z","Complete",2010,"South European Atlantic Shelf"
"5067773","MALLORCA","PUFMAU","22192002001","Migrant","2011-05-13T04:14:35Z","2011-05-16T04:58:00Z","2011-08-30T19:42:15Z",NA,NA,"2011-10-25T05:55:07Z","Complete",2011,"South European Atlantic Shelf"
"5068651","MALLORCA","PUFMAU","22193001001","Migrant","2010-05-23T03:56:52Z","2010-06-03T20:37:03Z","2010-10-16T05:46:48Z",NA,NA,"2010-11-11T06:16:32Z","Complete",2010,"South European Atlantic Shelf"
"5068651","MALLORCA","PUFMAU","22193002001","Migrant","2011-06-19T03:53:39Z","2011-07-06T20:41:48Z","2011-10-16T17:52:49Z",NA,NA,"2011-12-10T06:47:18Z","Complete",2011,"South European Atlantic Shelf"
"5085438","MALLORCA","PUFMAU","22194001001","Migrant","2010-06-26T04:00:42Z","2010-07-09T20:46:09Z","2010-10-24T06:23:12Z",NA,NA,"2010-11-06T06:13:12Z","Complete",2010,"South European Atlantic Shelf"
"5085438","MALLORCA","PUFMAU","22194002001","Migrant","2011-05-17T04:24:52Z","2011-05-27T03:54:48Z","2011-08-18T19:51:33Z",NA,NA,"2012-01-06T06:54:26Z","Complete",2011,"South European Atlantic Shelf"
"5085438","MALLORCA","PUFMAU","22194003001","Migrant","2012-06-24T19:55:19Z","2012-07-05T04:08:24Z","2012-10-23T17:46:19Z",NA,NA,"2012-10-28T17:26:19Z","Complete",2012,"South European Atlantic Shelf"
"5056077","MALLORCA","PUFMAU","22197001001","Migrant","2010-07-02T20:00:15Z","2010-07-06T20:51:30Z","2010-09-13T05:54:30Z",NA,NA,"2010-10-24T17:33:45Z","Complete",2010,"South European Atlantic Shelf"
"5056077","MALLORCA","PUFMAU","22197002001","Migrant","2011-05-18T19:34:10Z","2011-05-29T20:15:00Z","2011-08-31T05:34:49Z",NA,NA,"2011-09-04T04:59:15Z","Complete",2011,"South European Atlantic Shelf"
